11,-0.1839,2.0696,1.1804,-0.4746,-0.9037,0.0530,-1.2636,0.9007
12,-1.0027,-0.3000,2.1806,-3.3360,0.0444,-1.5098,2.0549,-1.0626
13,-1.1577,-0.4508,-0.0025,-0.9456,-1.2891,0.1766,-2.4367,0.2217
14,0.2559,1.5797,0.5149,0.2582,-2.1145,-0.9705,-0.1284,0.3178
15,-0.8148,-1.1198,-2.0807,-0.0385,-0.6601,0.5171,0.6008,-0.5934
16,-0.1555,1.2258,-2.2939,0.9485,0.1604,2.4496,-0.1651,-0.0497
17,-1.0712,-0.6743,0.0304,2.2599,1.3921,-0.3285,-2.0591,-0.1166
18,-0.2228,0.8571,0.3489,-0.1548,-1.0137,-1.1472,0.8250,-0.4323
19,-0.9234,-0.2980,-0.2317,-3.8717,-0.9511,0.9188,-1.4863,0.0109
20,-0.9294,-0.6876,-2.0762,1.6279,0.5593,-1.7273,0.4298,-0.1847
21,-0.9981,1.6523,0.4607,0.9166,-0.3221,-1.2084,-0.9316,2.1320
22,-1.1924,1.0500,2.8730,-1.0372,-1.2691,0.1469,-0.3259,-0.2299
23,-0.5837,-1.4393,-0.4938,-3.5646,-1.6074,0.0306,-0.5270,-1.0790
24,-1.6906,-1.5300,0.1537,1.0713,-0.3161,-1.2635,0.2414,-1.0814
25,1.8419,1.2511,0.1713,1.4430,1.2223,1.5393,1.7105,1.6487
26,-0.4787,-1.1763,-1.3395,-1.6835,0.8461,1.2620,-0.8368,-0.4306
27,0.6840,-0.5998,-0.0622,-1.2023,1.0224,2.0759,0.0513,-1.0296
28,0.4367,2.3544,-1.5079,-1.6337,-0.7243,1.4344,0.3764,1.2304
29,-0.8684,2.0166,1.9844,1.7508,-1.0915,0.3768,-1.1029,0.5933
30,0.7832,1.0423,2.1020,0.0698,0.7476,-0.4861,-0.5907,0.5615
31,0.1974,-1.2416,2.2784,-0.9298,-0.1522,-2.4554,0.1674,0.0567
32,-1.6195,1.3448,-0.4628,-0.9236,-0.5033,-1.1815,-1.0103,1.2738
33,-0.3762,0.5028,0.8974,-0.3012,0.5661,-1.3687,-1.5685,1.1360
